Asset,Exchange,LastPrice,RSI_14,SMA_20,SMA_50,SMA_200,ATR%_W,MovingAveragesRating,OscillatorsRating,VolatilityRating,LastDate
1000REEFUSDPERP,PhemexFutures,5.2,55.588422,4.9922,4.3461,,0.202828,UP_TREND,BULLISH,MEDIUM,29.09.2022
CHZUSDPERP,PhemexFutures,0.2414,54.628466,0.231235,0.21464,0.169409,0.183545,STRONG_UP_TREND,BULLISH,MEDIUM,29.09.2022
APEUSDPERP,PhemexFutures,5.435,50.773739,5.4275,5.3395,,0.314738,UP_TREND,BULLISH,HIGH,29.09.2022
XRPUSDPERP,PhemexFutures,0.4876,65.312029,0.40881,0.371724,0.475217,0.16567,STRONG_UP_TREND,BULLISH,MEDIUM,29.09.2022
ASTRUSDPERP,PhemexFutures,0.0387,49.51226,0.038575,0.03942,,0.368003,,BEARISH,HIGH,29.09.2022
LINKUSDPERP,PhemexFutures,7.892,55.592049,7.57975,7.4657,9.168665,0.220623,UP_TREND,BULLISH,MEDIUM,29.09.2022
INJUSDPERP,PhemexFutures,1.683,52.067016,1.65355,1.67616,,0.281993,UP_TREND,BULLISH,MEDIUM,29.09.2022
COMPUSDPERP,PhemexFutures,62.0,59.692787,57.565,54.253,75.14325,0.295308,UP_TREND,BULLISH,MEDIUM,29.09.2022
ATOMUSDPERP,PhemexFutures,12.777,44.327635,14.4995,13.00984,14.65696,0.24916,STRONG_DOWN_TREND,BEARISH,MEDIUM,29.09.2022
C98USDPERP,PhemexFutures,0.3565,41.485288,0.39065,0.42121,,0.284953,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
XLMUSDPERP,PhemexFutures,0.1154,53.121646,0.11247,0.111464,0.140672,0.185016,UP_TREND,BULLISH,MEDIUM,29.09.2022
1000HOTUSDPERP,PhemexFutures,2.059,48.691973,2.06485,2.16388,,0.192127,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
COTIUSDPERP,PhemexFutures,0.1074,59.044038,0.0993,0.099742,,0.183596,UP_TREND,BULLISH,MEDIUM,29.09.2022
1000000NFTUSDPERP,PhemexFutures,0.502,32.484213,0.5422,0.57252,,0.1945,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
GOLDUSDPERP,PhemexFutures,1656.6,42.2383,1669.21,1711.763,1814.511,0.032904,STRONG_DOWN_TREND,BEARISH,LOW,29.09.2022
1INCHUSDPERP,PhemexFutures,0.5845,42.712208,0.60625,0.67062,,0.238603,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
ONEUSDPERP,PhemexFutures,0.0202,50.023132,0.02003,0.021906,,0.395522,,BULLISH,HIGH,29.09.2022
ALGOUSDPERP,PhemexFutures,0.3546,55.411686,0.335905,0.32304,0.46518,0.246215,UP_TREND,BULLISH,MEDIUM,29.09.2022
SOLUSDPERP,PhemexFutures,33.903,51.719967,33.242,34.78044,56.22375,0.34957,DOWN_TREND,BULLISH,HIGH,29.09.2022
TRXUSDPERP,PhemexFutures,0.061,48.531554,0.06091,0.063386,0.067674,0.150104,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
BNXUSDPERP,PhemexFutures,158.15,56.375913,155.35,142.984,,0.120145,UP_TREND,BULLISH,MEDIUM,29.09.2022
MTLUSDPERP,PhemexFutures,1.06,41.330726,1.11955,1.20048,,0.249705,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
ADAUSDPERP,PhemexFutures,0.4379,41.851756,0.46283,0.475968,0.625582,0.257018,STRONG_DOWN_TREND,BEARISH,MEDIUM,29.09.2022
100IOSTUSDPERP,PhemexFutures,1.187,42.023424,1.2323,1.31794,,0.217113,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
EGLDUSDPERP,PhemexFutures,47.8,44.889469,48.6175,52.443,,0.273484,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
DOGEUSDPERP,PhemexFutures,0.0609,48.097991,0.060785,0.064882,0.088258,0.263866,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
100ACHUSDPERP,PhemexFutures,1.208,46.588564,1.20965,1.33078,,0.255571,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
1000RSRUSDPERP,PhemexFutures,8.143,64.204256,6.63085,6.51448,,0.233849,UP_TREND,BULLISH,MEDIUM,29.09.2022
100ROSEUSDPERP,PhemexFutures,6.201,49.552335,6.07125,6.78042,,0.273211,,BEARISH,MEDIUM,29.09.2022
OMGUSDPERP,PhemexFutures,1.725,45.190598,1.7645,1.88922,,0.25018,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
CVCUSDPERP,PhemexFutures,0.1287,41.986971,0.134785,0.14593,,0.222609,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
DODOUSDPERP,PhemexFutures,0.1253,47.471914,0.125485,0.134252,,0.260127,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
ENJUSDPERP,PhemexFutures,0.4621,40.578938,0.487575,0.536892,0.82249,0.354771,STRONG_DOWN_TREND,BEARISH,HIGH,29.09.2022
DAOUSDPERP,PhemexFutures,1.395,28.68923,1.59315,1.72148,,0.261132,DOWN_TREND,OVERSOLD,MEDIUM,29.09.2022
BNBUSDPERP,PhemexFutures,283.85,54.028621,277.49,286.549,,0.149902,,BULLISH,MEDIUM,29.09.2022
THETAUSDPERP,PhemexFutures,1.093,46.241908,1.09925,1.19292,,0.256588,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
1000DENTUSDPERP,PhemexFutures,0.943,47.727293,0.95045,1.00234,,0.228201,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
IMXUSDPERP,PhemexFutures,0.756,43.202546,0.78255,0.84934,,0.3024,DOWN_TREND,BEARISH,HIGH,29.09.2022
ONTUSDPERP,PhemexFutures,0.2256,46.686953,0.228435,0.245432,0.33236,0.302324,STRONG_DOWN_TREND,BEARISH,HIGH,29.09.2022
XMRUSDPERP,PhemexFutures,148.23,51.247664,146.465,151.4708,170.9417,0.198582,DOWN_TREND,BULLISH,MEDIUM,29.09.2022
100XEMUSDPERP,PhemexFutures,4.17,48.515096,4.1725,4.468,,0.22527,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
100VETUSDPERP,PhemexFutures,2.347,48.552766,2.3412,2.53398,,0.214376,,BEARISH,MEDIUM,29.09.2022
XTZUSDPERP,PhemexFutures,1.438,43.094897,1.51245,1.58156,2.086115,0.267558,STRONG_DOWN_TREND,BEARISH,MEDIUM,29.09.2022
SRMUSDPERP,PhemexFutures,0.775,47.310443,0.7878,0.83504,,0.273881,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
ARUSDPERP,PhemexFutures,9.09,38.796329,9.84275,10.9736,,0.31396,DOWN_TREND,BEARISH,HIGH,29.09.2022
CTKUSDPERP,PhemexFutures,0.872,44.144663,0.9099,0.92982,,0.197905,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
100IOTXUSDPERP,PhemexFutures,2.891,48.035842,2.88385,3.09436,,0.224781,,BEARISH,MEDIUM,29.09.2022
GRTUSDPERP,PhemexFutures,0.0991,44.655625,0.10507,0.10998,0.196042,0.44474,STRONG_DOWN_TREND,BEARISH,HIGH,29.09.2022
ENSUSDPERP,PhemexFutures,15.755,61.468037,14.452,14.1146,,0.2053,UP_TREND,BULLISH,MEDIUM,29.09.2022
GALAUSDPERP,PhemexFutures,0.0409,36.807458,0.04458,0.050886,,0.380431,DOWN_TREND,BEARISH,HIGH,29.09.2022
BTCUSDPERP,PhemexFutures,19601.0,48.199067,19790.85,20699.41,28334.615,0.180111,STRONG_DOWN_TREND,BEARISH,MEDIUM,29.09.2022
BATUSDPERP,PhemexFutures,0.3067,43.781869,0.315045,0.348234,0.482546,0.282491,STRONG_DOWN_TREND,BEARISH,MEDIUM,29.09.2022
SANDUSDPERP,PhemexFutures,0.854,42.71925,0.8827,0.9884,,0.316645,DOWN_TREND,BEARISH,HIGH,29.09.2022
FOOTBALLUSDPERP,PhemexFutures,1123.83,53.72081,1062.4445,,,0.207368,,BULLISH,MEDIUM,29.09.2022
ZRXUSDPERP,PhemexFutures,0.2702,43.260324,0.28046,0.302824,,0.23489,DOWN_TREND,BEARISH,MEDIUM,29.09.2022
