ticker,exchange,imb_date,imb_price,trader,date
CRVUSDPERP,PhemexFutures,2022-10-23 12:00:00,0.863,Jirka,2022-10-25
TRXUSDPERP,PhemexFutures,2022-10-13 12:00:00,0.06037,Jirka,2022-10-25
ARUSDPERP,PhemexFutures,2022-10-21 12:00:00,10.07,Jirka,2022-10-25
ENSUSDPERP   ,PhemexFutures,2022-10-23 12:00:00,16.53,Jirka,2022-10-25
ASTRUSDPERP,PhemexFutures,2022-10-14 20:00:00,0.0345,Jirka,2022-10-25
CELOUSDPERP,PhemexFutures,2022-10-21 12:00:00,0.678,Jirka,2022-10-25
ETCUSDPERP,PhemexFutures,2022-10-22 08:00:00,21.87,Jirka,2022-10-25
CVXUSDPERP,PhemexFutures,2022-10-03 00:00:00,4.779,Jirka,2022-10-25
UNIUSDPERP,PhemexFutures,2022-10-13 12:00:00,5.64,Jirka,2022-10-25
WOOUSDPERP,PhemexFutures,2022-10-13 12:00:00,0.1444,Jirka,2022-10-25
GLMRUSDPERP,PhemexFutures,2022-10-15 00:00:00,0.4387,Jirka,2022-10-25
CVXUSDPERP,PhemexFutures,2022-10-03 00:00:00,4.787,Jirka,2022-10-25
1000RSRUSDPERP,PhemexFutures,2022-09-21 00:00:00,0.00545,Jirka,2022-10-25
CRVUSDPERP,PhemexFutures,2022-10-16 00:00:00,0.813,Jirka,2022-10-25
SNXUSDPERP,PhemexFutures,2022-10-16 00:00:00,2.071,Jirka,2022-10-25
BCHUSDPERP,PhemexFutures,2022-07-13 00:00:00,99.1,Jirka,2022-10-25
YFIUSDPERP,PhemexFutures,2022-07-26 00:00:00,6980.49,Jirka,2022-10-25
ENSUSDPERP,PhemexFutures,2022-10-03 00:00:00,14.95,Jirka,2022-10-25
LITUSDPERP,PhemexFutures,2022-09-26 00:00:00,0.587,Jirka,2022-10-25
BNXUSDPERP,PhemexFutures,2022-09-08 00:00:00,137.9,Jirka,2022-10-26
