ticker,exchange,imb_date,imb_price,trader,date
THETAUSDPERP,PhemexFutures,2022-10-06 00:00:00,1.082,Jirka,2022-10-25
API3USDPERP,PhemexFutures,2022-10-09 00:00:00,1.725,Jirka,2022-10-25
NEOUSDPERP,PhemexFutures,2022-10-05 00:00:00,8.72,Jirka,2022-10-25
1000000NFTUSDPERP,PhemexFutures,2022-07-23 00:00:00,0.685,Jirka,2022-10-25
DYDXUSDPERP,PhemexFutures,2022-09-12 00:00:00,1.606,Jirka,2022-10-25
AAVEUSDPERP,PhemexFutures,2022-09-11 00:00:00,91.2,Jirka,2022-10-25
EGLDUSDPERP,PhemexFutures,2022-08-13 00:00:00,64.71,Jirka,2022-10-25
KAVAUSDPERP,PhemexFutures,2022-09-11 00:00:00,1.753,Jirka,2022-10-25
LTCUSDPERP,PhemexFutures,2022-09-11 00:00:00,61.14,Jirka,2022-10-25
LDOUSDPERP,PhemexFutures,2022-09-22 00:00:00,1.789,Jirka,2022-10-25
ZENUSDPERP,PhemexFutures,2022-10-10 12:00:00,13.63,Jirka,2022-10-25
OGNUSDPERP,PhemexFutures,2022-10-12 08:00:00,0.1446,Jirka,2022-10-25
XTZUSDPERP,PhemexFutures,2022-10-04 20:00:00,1.455,Jirka,2022-10-25
QTUMUSDPERP,PhemexFutures,2022-10-10 04:00:00,2.863,Jirka,2022-10-25
100LINAUSDPERP,PhemexFutures,2022-10-10 08:00:00,0.0082,Jirka,2022-10-25
RUNEUSDPERP,PhemexFutures,2022-10-18 08:00:00,1.542,Jirka,2022-10-25
ENJUSDPERP,PhemexFutures,2022-10-10 04:00:00,0.4521,Jirka,2022-10-25
GRTUSDPERP,PhemexFutures,2022-10-18 08:00:00,0.086,Jirka,2022-10-25
100SLPUSDPERP,PhemexFutures,2022-10-10 04:00:00,0.00345,Jirka,2022-10-25
SKLUSDPERP,PhemexFutures,2022-10-18 00:00:00,0.03613,Jirka,2022-10-25
100ARPAUSDPERP,PhemexFutures,2022-10-17 20:00:00,0.03644,Jirka,2022-10-25
AXSUSDPERP,PhemexFutures,2022-10-20 12:00:00,10.04,Jirka,2022-10-25
AGLDUSDPERP,PhemexFutures,2022-10-06 16:00:00,0.341,Jirka,2022-10-25
CHZUSDPERP,PhemexFutures,2022-10-10 04:00:00,0.2151,Jirka,2022-10-25
100IOTXUSDPERP,PhemexFutures,2022-10-01 16:00:00,0.02914,Jirka,2022-10-25
100JASMYUSDPERP,PhemexFutures,2022-10-18 00:00:00,0.005189,Jirka,2022-10-25
OMGUSDPERP,PhemexFutures,2022-10-10 00:00:00,1.683,Jirka,2022-10-26
ONTUSDPERP,PhemexFutures,2022-10-10 00:00:00,0.2242,Jirka,2022-10-26
100IOTXUSDPERP,PhemexFutures,2022-10-09 00:00:00,0.02804,Jirka,2022-10-26
100ARPAUSDPERP,PhemexFutures,2022-10-18 00:00:00,0.03525,Jirka,2022-10-26
100CELRUSDPERP,PhemexFutures,2022-10-05 00:00:00,0.0156,Jirka,2022-10-26
FTTUSDPERP,PhemexFutures,2022-10-05 00:00:00,24.75,Jirka,2022-10-26
BAKEUSDPERP,PhemexFutures,2022-10-10 00:00:00,0.2399,Jirka,2022-10-26
XRPUSDPERP,PhemexFutures,2022-10-18 00:00:00,0.4765,Jirka,2022-10-26
ZECUSDPERP,PhemexFutures,2022-10-05 00:00:00,55.9,Jirka,2022-10-26
ADAUSDPERP,PhemexFutures,2022-10-10 00:00:00,0.4219,Jirka,2022-10-26
CVCUSDPERP,PhemexFutures,2022-10-09 00:00:00,0.1284,Jirka,2022-10-26
ZENUSDPERP,PhemexFutures,2022-10-05 00:00:00,14.01,Jirka,2022-10-26
OGNUSDPERP,PhemexFutures,2022-10-08 00:00:00,0.1499,Jirka,2022-10-26
TOMOUSDPERP,PhemexFutures,2022-10-10 00:00:00,0.4439,Jirka,2022-10-26
FILUSDPERP,PhemexFutures,2022-10-05 00:00:00,5.52,Jirka,2022-10-26
API3USDPERP,PhemexFutures,2022-09-12 00:00:00,1.79,Jirka,2022-10-26
ALGOUSDPERP,PhemexFutures,2022-10-05 00:00:00,0.3543,Jirka,2022-10-26
DOTUSDPERP,PhemexFutures,2022-09-18 00:00:00,6.91,Jirka,2022-10-26
EOSUSDPERP,PhemexFutures,2022-10-05 00:00:00,1.186,Jirka,2022-10-26
COTIUSDPERP,PhemexFutures,2022-10-10 00:00:00,0.1121,Jirka,2022-10-26
ENSUSDPERP,PhemexFutures,2022-10-17 00:00:00,19.54,Jirka,2022-10-26
CHZUSDPERP,PhemexFutures,2022-10-08 00:00:00,0.2143,Jirka,2022-10-26
DASHUSDPERP,PhemexFutures,2022-09-10 00:00:00,46.3,Jirka,2022-10-26
TRXUSDPERP,PhemexFutures,2022-08-17 00:00:00,0.06886,Jirka,2022-10-26
BNBUSDPERP,PhemexFutures,2022-08-16 00:00:00,317.6,Jirka,2022-10-26
THETAUSDPERP,PhemexFutures,2022-08-26 00:00:00,1.224,Jirka,2022-10-26
BCHUSDPERP,PhemexFutures,2022-09-10 00:00:00,126.6,Jirka,2022-10-26
